date	05/22	05/23	05/27	05/28	05/29	05/30	06/02	06/03	06/04	06/05	06/06	06/09	06/10	06/11	06/12	06/13	06/16	06/17	06/18	06/19	06/20	06/23	06/24	06/25	06/26	06/27	06/30	07/01	07/02	07/03	07/07	07/08	07/09	07/10	07/11	07/14	07/15	07/16	07/17	07/18	07/21	07/22	07/23	07/24	07/25	07/28	07/29	07/30	07/31	08/01	08/04	08/05	08/06	08/07	08/08	08/11	08/12	08/13	08/14	08/15	08/18	08/19	08/20	08/21	08/22
YHOO	0.99	0.92	0.29	-0.97	0.35	-0.72	0.63	-0.63	0.23	0.60	2.80	0.33	0.75	0.88	0.41	0.44	-5.77	-1.09	1.48	-0.74	-1.82	-1.20	-0.48	-0.69	1.23	1.75	2.57	0.63	1.50	0.72	-1.72	-2.79	0.93	0.23	1.43	0.76	-0.25	-5.11	-1.72	0.36	-0.15	0.96	3.30	4.21	-0.14	-0.61	-0.61	2.58	-2.16	-0.53	2.55	-2.27	0.25	-0.36	0.70	-0.33	-0.75	1.89	0.47	0.30	2.50	1.20	-0.87	0.37	0.98
GOOG	1.14	1.40	2.40	-0.75	-0.28	-0.03	-1.06	-1.62	-0.05	1.70	0.44	1.04	-0.28	-0.31	-1.34	0.07	-1.36	-0.23	1.91	0.28	0.26	1.54	-0.06	2.48	-0.46	0.22	-0.34	1.28	-0.06	0.41	-0.42	-1.92	0.87	-0.86	1.41	0.98	-0.02	-0.36	-1.53	3.72	-0.94	0.89	0.21	-0.44	-0.73	0.27	-0.84	0.31	-2.69	-0.97	1.25	-1.41	0.23	-0.53	0.96	-0.16	-0.91	2.14	-0.02	-0.20	1.51	0.81	-0.40	-0.19	-0.14
BIDU	-0.27	2.51	1.01	-1.86	0.80	-1.01	0.87	-2.14	-0.18	1.86	3.56	-0.44	2.65	0.21	-0.30	1.18	-0.66	0.76	-0.86	-1.30	0.06	1.74	2.06	1.80	-0.41	0.68	1.00	2.39	-0.69	0.65	-1.67	-3.03	1.45	-0.88	1.52	1.30	0.72	-0.24	-1.33	2.28	3.43	0.36	0.85	2.07	10.88	-0.31	-2.57	-0.40	-1.41	-1.70	3.07	-1.52	-0.20	-0.76	0.74	1.34	-0.83	1.12	0.45	-0.33	0.18	-0.47	0.37	-1.00	-1.22
AAPL	0.16	1.13	1.87	-0.26	1.82	-0.37	-0.69	1.41	1.14	0.39	-0.27	-85.49	0.59	-0.41	-1.67	-1.09	1.01	-0.13	0.11	-0.35	-1.03	-0.09	-0.61	0.09	0.60	1.19	1.03	0.63	-0.04	0.59	2.06	-0.65	0.04	-0.37	0.19	1.29	-1.17	-0.57	-1.78	1.44	-0.52	0.83	2.61	-0.16	0.66	1.38	-0.65	-0.23	-2.60	0.55	-0.56	-0.49	-0.17	-0.51	0.28	1.32	-0.02	1.32	0.27	0.49	1.20	1.38	0.04	0.01	0.74
MSFT	-0.62	0.05	0.17	-0.45	0.82	1.49	-0.37	-1.23	0.07	2.21	0.66	-0.51	-0.39	-0.61	-0.69	1.60	0.65	0.43	-0.07	-0.34	0.41	0.74	-0.57	0.67	-0.74	1.27	-1.30	0.41	0.07	-0.24	0.45	-0.50	-0.26	0.05	0.96	0.12	0.74	3.84	1.02	0.36	0.34	-0.02	0.09	-1.05	0.23	-1.19	-0.18	-0.71	-0.96	-0.70	1.19	-0.67	-0.79	1.15	-0.07	0.00	0.74	1.29	0.43	1.17	0.71	0.49	-0.84	0.60	-0.15
ORCL	-0.38	1.52	-0.57	-0.81	1.52	-0.43	-0.12	-0.38	-0.26	0.96	1.26	0.16	-0.09	-0.23	-1.32	0.33	0.02	0.40	1.16	-0.70	-3.98	0.69	-0.83	-0.74	-0.77	0.95	0.00	0.59	0.44	0.95	-1.09	-0.81	-0.74	0.15	-0.47	0.90	0.12	-0.69	-0.87	0.23	0.02	1.05	-0.30	0.40	-0.35	0.55	0.20	0.81	-1.39	-1.93	1.24	-0.35	0.50	-1.22	0.68	-0.05	-0.05	0.85	-0.05	0.15	0.89	1.89	-0.39	0.80	0.12
FB	0.05	1.37	3.47	0.05	0.50	-0.83	-0.35	-0.33	0.75	-0.24	-1.09	0.61	4.60	0.02	-2.27	0.33	-0.48	0.33	1.86	-1.92	0.25	1.35	0.54	2.62	-0.46	0.70	-0.46	1.14	-2.37	-0.24	-1.51	-3.88	3.52	-0.15	2.27	2.35	-1.08	0.73	-1.85	3.03	1.43	-0.19	2.92	5.18	0.28	-0.36	-1.62	1.32	-2.72	-0.40	1.59	-1.12	-0.30	0.97	-0.15	0.52	-0.83	1.29	0.72	-0.90	1.30	0.94	-0.64	-0.32	0.00
TWTR	-0.72	-3.24	0.03	10.69	0.68	-4.59	-2.13	2.61	0.98	3.01	-1.65	3.42	2.61	0.48	3.52	0.30	3.04	0.00	1.89	0.41	0.87	0.71	-2.63	2.55	5.02	-1.23	0.10	2.64	-0.67	-1.05	-2.66	-7.01	1.74	-0.58	1.29	-0.05	-1.12	-1.19	-1.50	0.49	2.70	-1.05	0.27	2.54	-1.42	-0.60	1.74	19.98	-2.40	-2.35	-1.50	0.83	-0.84	-1.06	0.30	0.32	1.25	0.78	2.67	-1.26	0.80	-0.07	-0.07	0.11	1.93
WB	-10.86	0.11	-0.66	2.34	4.25	-3.29	-0.92	-0.16	2.51	0.96	-2.22	0.59	1.39	1.59	-1.41	1.43	0.52	7.72	2.07	-5.23	-1.19	-2.01	2.00	2.37	0.64	0.83	-0.78	4.35	2.95	-4.36	-5.32	-4.92	3.22	-1.38	0.10	-0.26	-0.78	-0.37	-0.63	0.69	0.63	1.83	-0.97	1.66	2.65	-2.83	-0.15	4.35	-4.16	-2.66	3.10	-0.76	-1.44	0.21	1.51	2.41	0.45	1.14	5.61	-7.04	0.25	-1.70	-1.53	0.83	-0.51
INTC	-0.19	0.54	1.60	0.64	0.30	1.34	-0.22	1.47	-0.22	0.22	1.84	-0.92	1.18	-1.10	0.11	6.83	0.47	-0.20	-0.07	0.53	0.37	0.10	0.89	1.25	-0.32	0.49	-0.10	0.26	0.00	0.52	-0.35	-0.77	0.32	1.20	-0.03	0.77	0.70	9.27	-2.74	0.00	1.07	2.14	-0.83	-0.72	0.00	-0.06	-0.12	0.47	-1.34	-0.44	0.92	-3.61	0.09	-0.52	-0.24	1.29	0.33	2.93	-0.47	0.68	0.70	-0.20	0.47	1.88	-0.60
